               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.032409,            0.042664,            0.011282,             0.97243,             0.87134,             0.91708,             0.73275,            0.023121,            0.032497,           0.0073432,            0.008812,            0.008812,            0.008812
                  38,            0.032935,            0.043335,            0.011133,             0.96646,             0.85613,              0.9132,             0.73091,             0.02244,            0.033128,           0.0077769,            0.008779,            0.008779,            0.008779
                  39,            0.033395,            0.044943,            0.012418,             0.95213,             0.87989,             0.91379,             0.73576,            0.022579,            0.033442,           0.0073279,            0.008746,            0.008746,            0.008746
                  40,            0.031938,            0.043073,            0.011447,             0.97733,             0.88122,             0.92264,             0.74806,            0.022104,             0.03165,           0.0068391,            0.008713,            0.008713,            0.008713
                  41,            0.031983,            0.043113,            0.010975,             0.97331,             0.88639,             0.92051,              0.7254,            0.023445,            0.032796,           0.0068129,             0.00868,             0.00868,             0.00868
                  42,            0.031906,            0.041888,            0.010852,             0.97849,             0.88096,             0.92312,             0.73823,            0.021694,            0.032089,            0.006834,            0.008647,            0.008647,            0.008647
                  43,            0.031855,            0.042422,            0.011174,              0.9721,             0.88514,             0.92018,             0.74169,            0.021797,            0.031974,            0.006828,            0.008614,            0.008614,            0.008614
                  44,            0.031575,            0.042511,            0.010812,             0.96932,             0.87473,             0.91432,             0.74203,            0.022498,            0.032324,           0.0070998,            0.008581,            0.008581,            0.008581
                  45,            0.031211,            0.042759,            0.010771,             0.98235,              0.8845,             0.92296,             0.74611,            0.021631,            0.031463,            0.006557,            0.008548,            0.008548,            0.008548
                  46,            0.030787,            0.042018,             0.01071,             0.97663,             0.88896,             0.92412,             0.75464,             0.02115,            0.030814,           0.0066467,            0.008515,            0.008515,            0.008515
                  47,            0.030709,            0.041503,            0.010472,             0.98261,             0.88202,             0.92246,             0.74629,            0.021592,            0.031209,           0.0065602,            0.008482,            0.008482,            0.008482
                  48,            0.031061,            0.042175,            0.010402,             0.97694,             0.88426,             0.92089,             0.75298,            0.021906,            0.031391,           0.0067024,            0.008449,            0.008449,            0.008449
                  49,            0.030145,            0.041734,            0.010344,             0.97492,             0.87814,             0.91899,              0.7466,            0.021632,            0.031624,           0.0067799,            0.008416,            0.008416,            0.008416
                  50,            0.030649,            0.041114,            0.010203,             0.97471,             0.88601,             0.92165,             0.75257,             0.02112,            0.030965,           0.0066122,            0.008383,            0.008383,            0.008383
                  51,            0.030439,            0.041029,           0.0096392,             0.97106,             0.88482,             0.92037,             0.75449,            0.021134,            0.030687,           0.0066632,             0.00835,             0.00835,             0.00835
                  52,            0.029634,            0.041415,           0.0098242,             0.97057,             0.89185,             0.92111,             0.75411,            0.020798,            0.030791,           0.0062915,            0.008317,            0.008317,            0.008317
                  53,             0.03016,            0.040929,            0.010034,             0.97204,             0.89118,             0.92451,             0.75884,            0.020823,            0.030369,           0.0064612,            0.008284,            0.008284,            0.008284
                  54,            0.030559,            0.041766,            0.010274,             0.96864,             0.88288,             0.92251,             0.75906,            0.020518,            0.030601,           0.0065513,            0.008251,            0.008251,            0.008251
                  55,            0.030154,            0.040665,           0.0099087,             0.97062,             0.88195,             0.91986,             0.75801,            0.020675,            0.030733,           0.0069281,            0.008218,            0.008218,            0.008218
                  56,            0.029691,            0.039765,           0.0098385,             0.97228,             0.87639,             0.92046,             0.75876,            0.020918,            0.030809,           0.0069605,            0.008185,            0.008185,            0.008185
                  57,             0.02868,            0.040432,             0.00927,             0.97575,             0.89037,             0.92401,             0.76059,            0.020901,            0.030251,           0.0064974,            0.008152,            0.008152,            0.008152
                  58,            0.029326,            0.039598,           0.0092568,             0.97607,             0.88711,             0.92277,             0.76281,            0.020383,             0.03001,           0.0065486,            0.008119,            0.008119,            0.008119
                  59,             0.02942,             0.03957,            0.009173,             0.98219,             0.88887,             0.92609,             0.76396,            0.020585,             0.03018,           0.0062664,            0.008086,            0.008086,            0.008086
                  60,            0.029273,            0.041404,           0.0094294,             0.97494,             0.88422,             0.92553,             0.76153,            0.020766,             0.03087,            0.006395,            0.008053,            0.008053,            0.008053
                  61,            0.028989,            0.040911,           0.0092137,             0.97733,             0.88479,             0.92385,             0.76397,            0.020284,            0.030136,           0.0063256,             0.00802,             0.00802,             0.00802
                  62,             0.02997,            0.040404,           0.0094698,              0.9767,             0.88756,             0.92647,              0.7654,            0.020169,             0.02983,           0.0065496,            0.007987,            0.007987,            0.007987
                  63,            0.029193,             0.04087,           0.0088232,             0.97984,             0.88273,             0.92175,             0.76352,            0.020804,            0.030177,           0.0062036,            0.007954,            0.007954,            0.007954
                  64,            0.028456,            0.039082,            0.008956,             0.97173,             0.90422,             0.92757,             0.77127,            0.019833,            0.029288,           0.0060712,            0.007921,            0.007921,            0.007921
                  65,            0.028366,            0.039061,           0.0087486,             0.97423,              0.8924,             0.92527,             0.77142,            0.019877,            0.029601,           0.0062274,            0.007888,            0.007888,            0.007888
                  66,             0.02833,            0.039985,           0.0091252,             0.96808,             0.89483,             0.92399,             0.76958,            0.020092,            0.030013,           0.0065312,            0.007855,            0.007855,            0.007855
                  67,            0.028807,            0.039785,           0.0091751,             0.97886,             0.88531,             0.92312,             0.76992,            0.019945,            0.030178,           0.0065608,            0.007822,            0.007822,            0.007822
                  68,            0.027857,            0.038778,           0.0083586,             0.97468,             0.88378,             0.92201,             0.77046,            0.020062,            0.029668,            0.006304,            0.007789,            0.007789,            0.007789
                  69,            0.028081,             0.03843,           0.0087284,             0.98004,             0.88309,             0.92305,             0.77081,            0.019779,             0.02898,           0.0063746,            0.007756,            0.007756,            0.007756
                  70,            0.029131,             0.04006,           0.0090953,             0.97828,             0.88475,             0.92577,             0.77134,            0.019881,            0.029416,           0.0062648,            0.007723,            0.007723,            0.007723
                  71,             0.02742,             0.03853,           0.0084403,             0.97728,             0.88876,             0.92608,              0.7713,            0.019699,            0.029254,           0.0063666,             0.00769,             0.00769,             0.00769
                  72,            0.026919,            0.038317,            0.008025,             0.98252,             0.88502,             0.92589,             0.77106,            0.019481,            0.029046,           0.0062894,            0.007657,            0.007657,            0.007657
                  73,            0.027413,            0.038443,           0.0082208,             0.98198,             0.88553,             0.92414,             0.77491,             0.01941,            0.029678,           0.0060441,            0.007624,            0.007624,            0.007624
                  74,            0.027762,            0.038417,           0.0081251,             0.96976,             0.89952,             0.92737,              0.7758,            0.019624,            0.028955,           0.0061643,            0.007591,            0.007591,            0.007591
                  75,            0.027827,            0.038585,           0.0081621,             0.97811,             0.88924,             0.92706,             0.77402,            0.019645,            0.029381,           0.0062199,            0.007558,            0.007558,            0.007558
                  76,            0.026776,            0.038353,           0.0080728,             0.97229,              0.8978,             0.92671,             0.76694,            0.019568,             0.02924,           0.0062178,            0.007525,            0.007525,            0.007525
                  77,            0.026582,            0.038118,           0.0080295,             0.97801,             0.89758,             0.92677,             0.77565,            0.019529,            0.029484,           0.0061321,            0.007492,            0.007492,            0.007492
                  78,            0.027189,            0.037525,           0.0076733,             0.98397,             0.89755,             0.92688,             0.78048,            0.019358,            0.028786,           0.0059194,            0.007459,            0.007459,            0.007459
                  79,            0.027704,            0.038301,           0.0081529,             0.97313,             0.89623,               0.928,             0.78152,            0.019267,            0.028711,           0.0060207,            0.007426,            0.007426,            0.007426
                  80,             0.02614,            0.037054,           0.0075496,             0.97085,             0.89611,             0.92611,             0.77415,            0.019658,            0.029175,            0.006211,            0.007393,            0.007393,            0.007393
                  81,            0.026786,            0.037545,           0.0077773,             0.97466,             0.88951,             0.92611,             0.77516,            0.019305,            0.029068,           0.0060278,             0.00736,             0.00736,             0.00736
                  82,            0.026441,            0.037937,           0.0075971,              0.9751,             0.88851,             0.92624,             0.78127,            0.019088,            0.028611,           0.0061124,            0.007327,            0.007327,            0.007327
                  83,            0.026085,            0.036914,           0.0075075,             0.98298,             0.89119,             0.92621,             0.77867,            0.019174,            0.028783,           0.0059027,            0.007294,            0.007294,            0.007294
                  84,             0.02661,            0.037323,           0.0078124,             0.97448,             0.89296,             0.92649,             0.77785,            0.019023,            0.028363,             0.00608,            0.007261,            0.007261,            0.007261
                  85,            0.026504,            0.036987,           0.0074071,             0.97741,             0.89167,             0.92944,             0.77684,            0.019177,            0.028517,           0.0059693,            0.007228,            0.007228,            0.007228
                  86,            0.026179,            0.036614,           0.0071579,             0.98634,             0.89731,             0.92876,             0.77986,            0.019305,            0.028739,           0.0058427,            0.007195,            0.007195,            0.007195
                  87,            0.026524,              0.0372,           0.0075769,             0.98405,             0.89393,             0.92625,              0.7795,            0.019144,            0.028535,            0.005934,            0.007162,            0.007162,            0.007162
                  88,            0.026571,            0.037355,           0.0075233,             0.97943,             0.89688,             0.92762,             0.77936,            0.019062,            0.029088,           0.0059186,            0.007129,            0.007129,            0.007129
                  89,            0.025466,            0.036893,           0.0072778,             0.98028,             0.89419,              0.9277,             0.78146,            0.018936,            0.028795,            0.005956,            0.007096,            0.007096,            0.007096
                  90,            0.025963,            0.036963,           0.0071356,             0.97997,             0.89563,              0.9273,             0.77984,            0.019002,            0.028504,           0.0059916,            0.007063,            0.007063,            0.007063
                  91,            0.025626,            0.036286,            0.007227,             0.98259,             0.89188,              0.9261,             0.78118,            0.018846,            0.028734,           0.0058475,             0.00703,             0.00703,             0.00703
                  92,            0.025597,            0.037079,           0.0071548,             0.98746,             0.89483,             0.93011,             0.78892,            0.018711,            0.028272,           0.0059596,            0.006997,            0.006997,            0.006997
                  93,            0.025171,            0.036218,           0.0071899,             0.98157,             0.89922,             0.92666,             0.78474,             0.01878,            0.028102,           0.0059595,            0.006964,            0.006964,            0.006964
                  94,             0.02627,            0.037229,           0.0072568,             0.97772,             0.89755,             0.92799,             0.78273,            0.018759,            0.028435,           0.0060232,            0.006931,            0.006931,            0.006931
                  95,            0.025779,             0.03689,           0.0073039,             0.97561,             0.90211,             0.92913,              0.7891,             0.01867,            0.028477,             0.00585,            0.006898,            0.006898,            0.006898
                  96,            0.025737,            0.037374,           0.0069239,             0.97979,             0.90534,             0.93004,             0.78839,            0.018717,            0.028288,           0.0058955,            0.006865,            0.006865,            0.006865
                  97,            0.025716,             0.03637,            0.006674,             0.98113,             0.89661,             0.92877,             0.78726,            0.018665,            0.027815,           0.0060206,            0.006832,            0.006832,            0.006832
                  98,            0.025128,            0.035484,           0.0067216,             0.97853,             0.90469,             0.93052,             0.78862,             0.01856,              0.0274,           0.0058714,            0.006799,            0.006799,            0.006799
                  99,            0.025494,            0.036132,           0.0069326,             0.97966,             0.90116,             0.92914,             0.78766,            0.018651,            0.028109,            0.006021,            0.006766,            0.006766,            0.006766
                 100,            0.025588,            0.036348,           0.0070091,             0.98485,             0.89667,             0.92623,             0.78177,            0.018923,            0.028197,            0.005997,            0.006733,            0.006733,            0.006733
                 101,            0.025402,            0.036243,           0.0068208,             0.97419,             0.89659,             0.92827,             0.78531,            0.018904,              0.0283,           0.0062155,              0.0067,              0.0067,              0.0067
                 102,            0.025873,            0.035579,           0.0068803,              0.9767,             0.89031,             0.92753,             0.78311,            0.018634,             0.02839,            0.005954,            0.006667,            0.006667,            0.006667
                 103,            0.025192,            0.036679,           0.0066915,             0.97934,             0.90273,             0.92795,             0.78477,            0.018647,            0.027732,           0.0058987,            0.006634,            0.006634,            0.006634
                 104,            0.025204,            0.036992,           0.0069844,             0.97864,             0.90394,             0.92978,             0.78996,            0.018563,            0.027636,           0.0058998,            0.006601,            0.006601,            0.006601
                 105,            0.024579,            0.035834,           0.0066149,             0.97597,             0.89997,             0.92978,              0.7919,            0.018396,             0.02746,           0.0057732,            0.006568,            0.006568,            0.006568
